i:3 dp[i]:153 
i:4 dp[i]:4409 
i:5 dp[i]:96977 
i:6 dp[i]:1989681 
i:7 dp[i]:40062793 
i:8 dp[i]:802657129 
i:9 dp[i]:16060315137 
i:10 dp[i]:321242664161 
i:11 dp[i]:6425036586233 
i:12 dp[i]:128501652727449 
i:13 dp[i]:2570037673026097 
i:14 dp[i]:51400776593297041 
i:15 dp[i]:1028015647650984873 
i:16 dp[i]:2113569458598871753 
i:17 dp[i]:5377903922092478305 
i:18 dp[i]:-3122371509465460415 
i:19 dp[i]:-7107125503654485159 
i:20 dp[i]:5431804868661008377 
i:21 dp[i]:-2042555220333777519 
i:22 dp[i]:-3948556750744009487 
i:23 dp[i]:-5138860382492951543 
i:24 dp[i]:8129750865103967785 
i:25 dp[i]:-2293201842896573247 
i:26 dp[i]:-3308139653817411167 
i:27 dp[i]:-957195251520049735 
i:28 dp[i]:-6710371977519551143 
i:29 dp[i]:1747781554263260401 
i:30 dp[i]:-4689543629909311663 
i:31 dp[i]:3136374913973725289 
i:32 dp[i]:-6022938644973056631 
i:33 dp[i]:-2995412500842574303 
i:34 dp[i]:-7406196626982951423 
i:35 dp[i]:4128358570484554777 
i:36 dp[i]:-3454134621055703367 
i:37 dp[i]:2675264842833809489 
i:38 dp[i]:-572838236332180047 
i:39 dp[i]:-7818190385745479479 
i:40 dp[i]:1387282680147519721 
i:41 dp[i]:-756091288604511359 
i:42 dp[i]:-8411226437339335071 
i:43 dp[i]:-608209948518355335 
i:44 dp[i]:-7824491544023677927 
i:45 dp[i]:1867449096714561457 
i:46 dp[i]:3179757418104799249 
i:47 dp[i]:-2573677105880027863 
i:48 dp[i]:5501198176225994825 
i:49 dp[i]:8827765703170170081 
i:50 dp[i]:6550897055680989889 
i:51 dp[i]:-6222332807266425639 
i:52 dp[i]:-468165703669840519 
i:53 dp[i]:-2644053888910097647 
i:54 dp[i]:4316798517476378225 
i:55 dp[i]:408220178624284041 
i:56 dp[i]:-6145984112022746199 
i:57 dp[i]:49056645582424641 
i:58 dp[i]:348494476452832033 
i:59 dp[i]:2052106127886286649 
i:60 dp[i]:-7257312197411738919 
i:61 dp[i]:3393630870959546993 
i:62 dp[i]:6881521412885598417 
i:63 dp[i]:4147708238691582441 
i:64 dp[i]:3745821011086889737 
i:65 dp[i]:4644432655740484513 
i:66 dp[i]:-585109846669918335 
i:67 dp[i]:-560392314628407911 
i:68 dp[i]:4293509183021511737 
i:69 dp[i]:5860470036179109329 
i:70 dp[i]:927866617819750193 
i:71 dp[i]:-6697141305290431927 
i:72 dp[i]:6291846585218498153 
i:73 dp[i]:3217939671428051201 
i:74 dp[i]:5152794887985143777 
i:75 dp[i]:-7046735967539617799 
